L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
64	5	1	SB25-N.L.532	3SB14-00-0C	8345.0184	BLOCK	SIEMENS	BLOC CONTACT A OUVERTURE POUR B.P. SAILLANT ACCROCH.	MP2_MASZYNA	TRANSLINE 1228
65	5	1	SB25-N.L.533	SB19-02-1AC	8345.0185	TRAEGER	SIEMENS	SUPPORT 3 POUR BP SAILLANT A. ACCR	MP2_MASZYNA	TRANSLINE 1228
66	5	1	SB29		8361.3051	KNOPF		BOUTON COUP DE POING ”O” TETE JAUNE	MP2_MASZYNA	TRANSLINE 1228
67	5	1	SB29-N.L.541	ZB2 BZ102	8345.0142	KOERPER	TELEMEC	CORPS DIAM22 + 1ELEMENT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
68	5	1	SB29-N.L.542	ZB2BT5	8345.0153	KNOPFHAUBE	TE	TETE BCPA JAUNE A ACCROCHAGE	MP2_MASZYNA	TRANSLINE 1228
69	6	1	SB30		8361.3051	KNOPF		BOUTON COUP DE POING ”O” TETE JAUNE	MP2_MASZYNA	TRANSLINE 1228
70	6	1	SB30-N.L.551	ZB2 BZ102	8345.0142	KOERPER	TELEMEC	CORPS DIAM22 + 1ELEMENT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
71	6	1	SB30-N.L.552	ZB2BT5	8345.0153	KNOPFHAUBE	TE	TETE BCPA JAUNE A ACCROCHAGE	MP2_MASZYNA	TRANSLINE 1228
72	6	1	SB31		8361.3051	KNOPF		BOUTON COUP DE POING ”O” TETE JAUNE	MP2_MASZYNA	TRANSLINE 1228
73	6	1	SB31-N.L.561	ZB2 BZ102	8345.0142	KOERPER	TELEMEC	CORPS DIAM22 + 1ELEMENT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
74	6	1	SB31-N.L.562	ZB2BT5	8345.0153	KNOPFHAUBE	TE	TETE BCPA JAUNE A ACCROCHAGE	MP2_MASZYNA	TRANSLINE 1228
75	6	1	SQ11	XCK-S131	8350.0197	ENDSCHALTER	TELEMEC	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET THERMO. TELEMECA	MP2_MASZYNA	TRANSLINE 1228
76	6	1	SQ22	XCK-S131	8350.0197	ENDSCHALTER	TELEMEC	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET THERMO. TELEMECA	MP2_MASZYNA	TRANSLINE 1228
77									MP2_MASZYNA	TRANSLINE 1228
78	6	1	SB23		8361.3066	KNOPF		BOUTON POUSSOIR”O”SAILLAN T A ACCROCHAGE+TETE ROUGE +SUPPORT	MP2_MASZYNA	TRANSLINE 1228
79	6	1	SB23-N.L.511	3SB10-00-0MC20	8345.0183	KNOPFHAUBE	SIEMENS	TETE ROUGE DIAM. 22 POUR BP SAILLANT A ACCROCHAGE	MP2_MASZYNA	TRANSLINE 1228
80	6	1	SB23-N.L.512	3SB14-00-0C	8345.0184	BLOCK	SIEMENS	BLOC CONTACT A OUVERTURE POUR B.P. SAILLANT ACCROCH.	MP2_MASZYNA	TRANSLINE 1228
81	6	1	SB23-N.L.513	SB19-02-1AC	8345.0185	TRAEGER	SIEMENS	SUPPORT 3 POUR BP SAILLANT A. ACCR	MP2_MASZYNA	TRANSLINE 1228
82	6	1	SQ12		8361.3501			FIN DE COURSE 10F CORPS J1+TETE E65	MP2_MASZYNA	TRANSLINE 1228
83	7	1	SQ12-N.L.521	ZCK-J1	8350.0114	KOERPER	TELEMEC	CORPS UNIPOLAIRE ENCKENCHEMENT 1”OF” EUROPE/USA	MP2_MASZYNA	TRANSLINE 1228
84	7	1	SQ12-N.L.522		8350.0123	ENDSCHALTERKOPF	TE	TETE A POUSSOIR DE COTE A GALET VERTICAL A RAPPEL	MP2_MASZYNA	TRANSLINE 1228
85	7	1	SQ21		8361.3505			FIN DE COURSE 10F CORPS J1+TETE E05+DISPOSITIF Y41	MP2_MASZYNA	TRANSLINE 1228
86	7	1	SQ21-N.L.531	ZCK-J1	8350.0114	KOERPER	TELEMEC	CORPS UNIPOLAIRE ENCKENCHEMENT 1”OF” EUROPE/USA	MP2_MASZYNA	TRANSLINE 1228
87	7	1	SQ21-N.L.532	ZCK-E05	8350.0124	ENDSCHALTERKOPF	TELEMEC	TETE DROITE ET GAUCHE/OU DROITE & GAUCHE A RAPPEL	MP2_MASZYNA	TRANSLINE 1228
88	7	1	SQ21-N.L.533	ZCK-Y41	8350.0127	ENDSCHALTER	TELEMEC	DISPO A LEVIER REGAL GALET EUROPE/USA	MP2_MASZYNA	TRANSLINE 1228
89									MP2_MASZYNA	TRANSLINE 1228
90	7	1	KA2	DILR31	8365.0150	SCHUETZ	KM	CONTACTEUR 110/120V-50/60HZ 3 CONTACTS „F”	MP2_MASZYNA	TRANSLINE 1228
91	7	1	KA12	DILR22	8365.0149	SCHUETZ	KM	CONTACTEUR 110/120V-50/60HZ 2 „O” + 2 „F”	MP2_MASZYNA	TRANSLINE 1228
92	7	3	N.L.30	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
93	7	1	KA20	DILR31	8365.0150	SCHUETZ	KM	CONTACTEUR 110/120V-50/60HZ 3 CONTACTS „F”	MP2_MASZYNA	TRANSLINE 1228
94	8	1	KA16	DILR40	8365.0151	SCHUETZ	KM	CONTACTEUR 110/120V-50/60HZ 4 CONTACTS „F”	MP2_MASZYNA	TRANSLINE 1228
95	8	1	KA17	DILR40	8365.0151	SCHUETZ	KM	CONTACTEUR 110/120V-50/60HZ 4 CONTACTS „F”	MP2_MASZYNA	TRANSLINE 1228
96	8	1	N.L.30	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
97	9	1	QF1	GV2M-10	8385.0069	SICHERHEITSSCHALTER	TELEMEC	DISJ. DE 4 A 6 AMP	MP2_MASZYNA	TRANSLINE 1228
